Model,MAE,MSE,RMSE,R2 Score
LASSO,2639.6150552453514,11127185.890234217,3335.7436787370543,0.9509805173561122
Ridge,2636.5914349496115,11198050.79684933,3346.3488755432136,0.9506683305108354
SVR,2628.7760772874817,11450784.110214397,3383.900724048269,0.9495549442162016
ElasticNet,2676.3911144853737,11658514.328025239,3414.4566665906364,0.9486398136605481
LightGBM,2879.7785960997235,13168552.075817611,3628.8499660109414,0.9419875235038349
CatBoost,4587.025389720777,31400107.71943652,5603.579902119405,0.8616705921377642
