Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
XGBoost,3840.9381660903027,25012998.66133308,5001.299697212024,0.0156396625840165,0.71484375
ElasticNet,3869.3039015577624,26070564.979182143,5105.934290527262,-0.025979751048583077,0.75
LASSO,3895.0362495506283,26226212.171722148,5121.153402478991,-0.03210508312255711,0.7421875
Ridge,3888.0806364312452,26242390.704058193,5122.732737910323,-0.03274177230024544,0.75390625
LightGBM,3918.57832882978,26366730.269096073,5134.854454519239,-0.03763502551838327,0.73046875
SVR,3974.0514311463667,27183857.485879548,5213.814101584324,-0.0697922104171369,0.71484375
