Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
ElasticNet,2361.561304260212,9194167.495498614,3032.188565293823,0.9679421735451411,0.4844961240310077
Ridge,2390.614426107306,9321773.264299247,3053.1579166985857,0.9674972432572327,0.45348837209302323
LASSO,2427.6922666534474,9515603.080847206,3084.7371169756434,0.9668214058174956,0.43410852713178294
SVR,2652.927861648771,12075220.87282822,3474.9418517189924,0.9578966409590928,0.49612403100775193
XGBoost,2987.2299746621625,14091097.576482408,3753.811073626696,0.9508677690626672,0.5232558139534884
LightGBM,3460.5296118293986,18089094.151249137,4253.127572886703,0.9369277271367679,0.4883720930232558
