"Date,Price,Open,High,Low,Vol.,Change %,Gia_Viet_Nam"
"11/20/2025,376.65,375.6,381.85,374.45,9.25K,0.48%,218136.25239299997"
"11/19/2025,374.85,384.5,386.25,373.2,12.07K,-3.31%,217093.78523700003"
"11/18/2025,387.7,377.05,390.4,375.95,21.32K,2.95%,224535.842434"
"11/17/2025,376.6,378.0,382.8,369.15,20.41K,-5.80%,218107.294972"
"11/14/2025,399.8,400.2,402.95,390.0,7.81K,-0.47%,231543.538316"
"11/13/2025,401.7,402.25,405.25,398.3,9.69K,-0.48%,232643.920314"
"11/12/2025,403.65,416.0,420.55,400.6,24.21K,-4.51%,233773.25973299998"
"11/11/2025,422.7,414.75,423.95,410.7,15.23K,1.92%,244806.03713399998"
"11/10/2025,414.75,408.3,416.55,406.5,18.28K,1.70%,240201.807195"
"11/07/2025,407.8,399.05,412.65,393.65,20.88K,2.79%,236176.725676"
"11/06/2025,396.75,415.5,416.25,395.75,18.05K,-4.07%,229777.13563499998"
"11/05/2025,413.6,403.35,418.05,403.0,19.19K,2.06%,239535.786512"
"11/04/2025,405.25,408.05,415.95,403.2,13.46K,-0.34%,234699.897205"
"11/03/2025,406.65,392.75,409.4,392.75,15.57K,3.72%,235510.704993"
"10/31/2025,392.05,393.55,396.6,385.0,10.84K,0.01%,227055.13806099998"
"10/30/2025,392.0,394.7,394.7,382.85,12.55K,0.33%,227026.18063999998"
"10/29/2025,390.7,390.85,392.45,382.15,13.19K,0.72%,226273.287694"
"10/28/2025,387.9,390.0,395.0,380.4,16.87K,-0.56%,224651.67211799996"
"10/27/2025,390.1,397.0,400.65,388.4,13.78K,-3.20%,225925.79864199998"
"10/24/2025,403.0,411.05,414.3,399.95,13.97K,-1.74%,233396.81326000002"
"10/23/2025,410.15,422.9,437.95,408.0,21.41K,-2.54%,237537.72446299996"
"10/22/2025,420.85,416.0,427.0,413.75,16.42K,1.77%,243734.61255700001"
"10/21/2025,413.55,404.2,415.0,402.2,11.82K,1.85%,239506.829091"
"10/20/2025,406.05,401.3,410.05,401.3,10.30K,2.16%,235163.21594099997"
"10/17/2025,397.45,392.95,401.9,386.25,14.47K,0.93%,230182.53952899997"
"10/16/2025,393.8,388.85,404.05,385.75,13.00K,-0.28%,228068.647796"
"10/15/2025,394.9,399.7,418.5,390.15,21.02K,-1.19%,228705.71105799996"
"10/14/2025,399.65,383.35,405.25,381.4,20.99K,3.75%,231456.666053"
"10/13/2025,385.2,373.2,387.1,373.2,12.11K,3.26%,223087.97138399997"
"10/10/2025,373.05,376.8,382.85,370.6,12.38K,-1.11%,216051.318081"
"10/09/2025,377.25,385.5,387.95,376.7,10.12K,-2.04%,218483.741445"
"10/08/2025,385.1,376.85,386.2,373.95,12.51K,2.58%,223030.056542"
"10/07/2025,375.4,381.6,382.3,372.15,12.08K,-1.56%,217412.316868"
"10/06/2025,381.35,384.9,390.35,377.5,13.52K,-2.41%,220858.24996699998"
"10/03/2025,390.75,383.25,392.35,381.05,12.45K,3.35%,226302.245115"
"10/02/2025,378.1,385.25,386.2,375.1,8.36K,-1.51%,218976.017602"
"10/01/2025,383.9,372.35,384.75,366.6,13.23K,2.41%,222335.078438"
"09/30/2025,374.85,373.2,380.7,370.5,13.06K,0.71%,217093.78523700003"
"09/29/2025,372.2,381.05,388.3,370.3,14.28K,-1.55%,215559.04192399996"
"09/26/2025,378.05,375.0,384.0,372.6,14.48K,1.80%,218947.060181"
"09/25/2025,371.35,371.5,378.4,361.25,14.51K,0.98%,215066.76576700003"
"09/24/2025,367.75,351.9,368.75,350.95,18.07K,5.03%,212981.83145499998"
"09/23/2025,350.15,365.5,368.85,349.45,25.34K,-4.68%,202788.81926299998"
"09/22/2025,367.35,369.2,370.15,360.55,12.99K,0.23%,212750.172087"
"09/19/2025,366.5,381.8,384.4,356.25,25.30K,-5.01%,212257.89592999997"
"09/18/2025,385.85,385.85,385.85,385.85,18.18K,-0.69%,223464.417857"
"09/17/2025,388.55,388.55,388.55,388.55,28.92K,-7.98%,225028.11859099998"
"09/16/2025,422.25,428.7,431.3,422.0,0.02K,-2.34%,244545.42034499996"
"09/15/2025,432.35,422.9,425.15,422.9,0.02K,5.28%,250394.81938700003"
"09/12/2025,410.65,410.65,410.65,410.65,18.54K,6.36%,237827.29867299998"
"09/11/2025,386.1,385.2,388.7,382.1,11.41K,-0.21%,223609.20496200002"
"09/10/2025,386.9,382.8,389.7,381.35,12.05K,1.34%,224072.52369799995"
"09/09/2025,381.8,386.0,393.0,380.45,14.40K,-0.79%,221118.866756"
"09/08/2025,384.85,371.0,385.85,369.05,15.88K,3.00%,222885.26943699998"
"09/05/2025,373.65,373.3,376.1,368.2,10.12K,-0.20%,216398.80713300002"
"09/04/2025,374.4,371.5,381.7,367.6,15.39K,0.20%,216833.16844799998"
"09/03/2025,373.65,371.0,379.0,368.55,12.45K,0.89%,216398.80713300002"
"09/02/2025,370.35,377.1,381.9,365.5,21.61K,-4.08%,214487.617347"
"08/29/2025,386.1,378.0,388.7,371.05,17.72K,2.28%,223609.20496200002"
"08/28/2025,377.5,383.0,391.3,374.7,18.44K,-2.02%,218628.52855"
"08/27/2025,385.3,371.2,386.55,364.8,19.18K,3.49%,223145.886226"
"08/26/2025,372.3,375.05,376.3,363.9,17.50K,-1.44%,215616.956766"
"08/25/2025,377.75,378.15,387.1,374.65,14.73K,-0.15%,218773.315655"
"08/22/2025,378.3,364.9,380.45,362.35,19.04K,3.64%,219091.847286"
"08/21/2025,365.0,352.65,366.0,351.25,20.44K,3.27%,211389.17330000002"
"08/20/2025,353.45,350.05,357.8,345.5,26.47K,1.26%,204700.009049"
"08/19/2025,349.05,338.05,352.05,337.6,24.00K,3.87%,202151.756001"
"08/18/2025,336.05,334.8,339.6,325.55,21.84K,0.55%,194622.826541"
"08/15/2025,334.2,320.1,336.8,318.2,23.84K,4.86%,193551.401964"
"08/14/2025,318.7,312.9,321.0,308.75,19.76K,1.94%,184574.601454"
"08/13/2025,312.65,310.25,317.6,309.15,23.61K,1.41%,181070.75351299997"
"08/12/2025,308.3,314.75,320.3,303.7,21.36K,-1.83%,178551.45788600002"
"08/11/2025,314.05,300.0,317.6,299.15,32.62K,1.52%,181881.561301"
"08/08/2025,309.35,297.8,309.95,297.8,27.80K,3.88%,179159.563727"
"08/07/2025,297.8,297.2,299.35,292.5,18.68K,1.50%,172470.39947600002"
"08/06/2025,293.4,297.55,300.15,292.05,14.57K,-1.77%,169922.14642799998"
"08/05/2025,298.7,289.25,299.6,288.05,16.40K,3.52%,172991.63305399998"
"08/04/2025,288.55,287.1,294.05,286.05,13.11K,1.53%,167113.276591"
"08/01/2025,284.2,294.1,297.05,283.65,15.43K,-3.92%,164593.980964"
"07/31/2025,295.8,297.0,303.6,294.05,12.20K,0.82%,171312.102636"
"07/30/2025,293.4,297.65,301.8,290.55,12.57K,-1.05%,169922.14642799998"
"07/29/2025,296.5,301.25,301.75,288.95,15.27K,-1.72%,171717.50653"
"07/28/2025,301.7,300.0,306.0,298.8,12.05K,1.39%,174729.07831399998"
"07/25/2025,297.55,305.0,307.45,297.25,10.08K,-2.39%,172325.612371"
"07/24/2025,304.85,299.25,307.2,298.45,10.89K,1.16%,176553.39583700002"
"07/23/2025,301.35,297.9,302.5,292.85,10.60K,1.69%,174526.37636700002"
"07/22/2025,296.35,291.95,298.55,285.75,11.51K,-0.30%,171630.63426700002"
"07/21/2025,297.25,297.25,297.25,297.25,13.13K,-3.77%,172151.867845"
"07/18/2025,308.9,308.9,308.9,308.9,11.40K,-1.15%,178898.94693799995"
"07/17/2025,312.5,312.5,312.5,312.5,13.30K,-0.65%,180983.88125"
"07/16/2025,314.55,312.55,312.55,312.55,0.01K,4.29%,182171.135511"
"07/15/2025,301.6,301.6,301.6,301.6,12.38K,-0.08%,174671.16347200001"
"07/14/2025,301.85,286.9,303.65,286.85,20.55K,5.36%,174815.95057699998"
"07/11/2025,286.5,288.7,297.6,285.05,16.56K,-0.45%,165926.02233"
"07/10/2025,287.8,278.65,294.55,277.6,21.64K,1.32%,166678.915276"
"07/09/2025,284.05,285.1,288.2,281.2,12.45K,-0.54%,164507.10870100002"
"07/08/2025,285.6,279.0,286.35,277.25,15.70K,2.64%,165404.78875200002"
"07/07/2025,278.25,287.6,289.35,277.55,16.73K,-3.92%,161148.047865"
"07/03/2025,289.6,290.0,294.0,284.3,11.06K,-0.55%,167721.382432"
"07/02/2025,291.2,290.05,292.25,279.6,18.32K,-0.26%,168648.019904"
"07/01/2025,291.95,298.4,300.0,288.0,16.07K,-2.72%,169082.38121899997"
"06/30/2025,300.1,302.9,307.35,297.55,11.58K,-1.20%,173802.440842"
"06/27/2025,303.75,304.75,307.05,293.15,14.74K,-0.62%,175916.33257499998"
"06/26/2025,305.65,304.3,308.25,301.75,11.13K,0.38%,177016.71457299998"
"06/25/2025,304.5,317.5,322.6,300.6,21.73K,-2.20%,176350.69389"
"06/24/2025,311.35,326.0,326.0,311.0,17.65K,-4.65%,180317.860567"
"06/23/2025,326.55,311.55,327.55,311.55,15.88K,3.65%,189120.916551"
"06/20/2025,315.05,322.85,328.65,311.85,18.79K,-2.25%,182460.70972100002"
"06/18/2025,322.3,330.4,331.2,318.05,21.66K,-3.05%,186659.53576600002"
"06/17/2025,332.45,342.6,344.05,330.6,18.70K,-2.29%,192537.892229"
"06/16/2025,340.25,345.9,349.8,339.25,13.76K,-1.66%,197055.249905"
"06/13/2025,346.0,343.25,348.2,334.3,24.24K,0.20%,200385.35332"
"06/12/2025,345.3,347.2,349.55,343.3,20.10K,-0.95%,199979.949426"
"06/11/2025,348.6,353.55,356.35,347.35,15.31K,-1.26%,201891.139212"
"06/10/2025,353.05,359.65,370.4,351.6,21.69K,-1.77%,204468.349681"
"06/09/2025,359.4,354.85,361.85,352.45,19.18K,0.38%,208145.94214799997"
