Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
LASSO,4239.765816314811,30600402.08612659,5531.763017892812,0.9397266423425881,0.49609375
Ridge,4382.605358313428,31706404.032935325,5630.843989397622,0.9375481595003636,0.51171875
ElasticNet,4486.651520147966,33022172.39456496,5746.492181719641,0.9349565014943152,0.5078125
SVR,6968.5032121393115,74694521.67036965,8642.599242726094,0.852874821480577,0.5
XGBoost,8837.639962645915,120291870.03216612,10967.765042713403,0.7630621033893277,0.5625
LightGBM,13288.573083794397,271421246.57983017,16474.867118730584,0.4653838264973762,0.51953125
