Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
LASSO,3893.7747820858935,26230488.39367991,5121.570891209055,0.948334025027657,0.50390625
Ridge,3895.8804215498026,26248950.43421199,5123.372954823023,0.9482976604998695,0.50390625
ElasticNet,3896.1805764416836,26275793.192351293,5125.991922774683,0.9482447885422681,0.52734375
SVR,3970.1356474744425,26997183.027101953,5195.8813522925975,0.946823872980646,0.5390625
XGBoost,5090.787102894944,41674602.8406378,6455.586947802485,0.9179138811664094,0.47265625
LightGBM,5947.638179127839,58907106.227725506,7675.096496313614,0.883971162474118,0.5078125
