Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
Ridge,9529.949440145334,150670293.47350812,12274.782827957002,0.6814889857052553,0.5733333333333334
SVR,9423.461809294857,155242204.97878587,12459.622987024362,0.6718241464244592,0.5733333333333334
LASSO,10514.04852711819,190020833.72176996,13784.804449892279,0.5983035070115154,0.52
ElasticNet,10515.269600682306,190051281.1998072,13785.908791218922,0.5982391422526184,0.52
XGBoost,18618.741010855265,498237616.0478454,22321.23688436296,-0.05325452541909015,0.5066666666666667
LightGBM,39374.54800000001,2011338403.346046,44847.94759346347,-3.2518894744992446,0.52
