Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
LASSO,2985.974697249955,14680374.44924117,3831.497677050212,0.8548005956338554,0.546875
ElasticNet,3375.600214177723,18859967.109371282,4342.806363329049,0.8134614345080728,0.65625
Ridge,4838.194505127532,35027335.927409485,5918.389639708549,0.653554592168076,0.546875
SVR,4848.668489224304,35621354.79597438,5968.362823754466,0.6476793206485316,0.578125
XGBoost,5545.020360576923,54816549.62266852,7403.819934511409,0.4578251132395267,0.546875
LightGBM,18536.26385096154,441789985.0369851,21018.800751636263,-3.3696189701492223,0.515625
