Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
ElasticNet,2439.404927752728,9605773.901874533,3099.3182963152613,0.9635289316119933,0.5747663551401869
Ridge,2715.103906103351,11611086.955765178,3407.5045056118674,0.9559151869751832,0.5373831775700935
XGBoost,2880.7439781976746,12924323.300827464,3595.041488053714,0.9509291095347141,0.5560747663551402
LightGBM,2964.1707653728085,13095248.500777697,3618.7357600103514,0.950280143119275,0.5327102803738317
LASSO,3219.6502594064877,15760909.304572033,3970.0011718602846,0.9401591993548751,0.5233644859813084
SVR,3201.1475392449515,17681910.692710504,4204.986408148129,0.9328655680747778,0.5373831775700935
