Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
ElasticNet,4386.466222750762,32630763.170392223,5712.334301351088,0.9286637968622663,0.5209580838323353
Ridge,4396.851392033304,32762185.455045752,5723.826120266561,0.9283764861810568,0.5089820359281437
LASSO,4413.024521341431,32975148.683250256,5742.3992096727525,0.9279109136160287,0.5149700598802395
XGBoost,6276.3014173809515,71803013.98478967,8473.665911799313,0.8430268282487454,0.5568862275449101
SVR,17943.078808350285,375981745.885751,19390.248731920667,0.1780422032874166,0.5149700598802395
LightGBM,30213.639749616395,1230483378.8510826,35078.24651904771,-1.6900385937332851,0.5149700598802395
