Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
Ridge,4890.885069898224,38532248.95771668,6207.4349741029655,0.9317181208614597,0.5658536585365853
LASSO,5002.09460658792,39249928.900648564,6264.976368722277,0.9304463410809126,0.5219512195121951
ElasticNet,4987.027277299388,40539699.34356583,6367.079341704942,0.9281607763427532,0.5756097560975609
SVR,10289.865453611357,152068638.48177713,12331.611349770035,0.7305235828573244,0.5073170731707317
XGBoost,10440.620939805824,177242698.11035734,13313.252724648373,0.6859133630159808,0.5560975609756098
LightGBM,14520.48662515702,318259003.4963204,17839.815119454586,0.43602246431723,0.5317073170731708
