Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
ElasticNet,2133.7202795864155,7761706.485533168,2785.983934902204,-0.021491479300195016,0.7596899224806202
SVR,2135.930420014176,7769735.567728704,2787.4245402752526,-0.02254815917653752,0.7635658914728682
XGBoost,2144.670082622182,7795433.697089127,2792.0303897144686,-0.025930201543709508,0.7674418604651163
Ridge,2145.189719266873,7835295.655567782,2799.159812437972,-0.031176296717503993,0.7596899224806202
LightGBM,2177.9286607438785,7918006.835101142,2813.895313458044,-0.04206163041231337,0.751937984496124
LASSO,2197.622676623598,8153952.3539581075,2855.512625424393,-0.07311360816239687,0.7596899224806202
