Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
SVR,2053.7040113072935,7487755.613632225,2736.376365493648,0.9738920168557142,0.5736434108527132
LASSO,2197.012310471149,8136453.76225515,2852.4469779919045,0.9716301641452515,0.41472868217054265
ElasticNet,2217.5118976982535,8250163.197325726,2872.309732136443,0.9712336869941057,0.3992248062015504
Ridge,2225.596442627001,8292747.0740055395,2879.7130193832754,0.9710852073705787,0.3992248062015504
LightGBM,2594.113966906687,10679458.423148746,3267.9440667105587,0.9627633252353951,0.5077519379844961
XGBoost,2642.3773793436294,11030190.626177968,3321.173079828567,0.9615404073254977,0.47674418604651164
