Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
SVR,3958.6917497829468,27087797.30479497,5204.593865499494,0.9466453907910215,0.54296875
LASSO,4051.936261630284,28127670.654523417,5303.55264464523,0.9445971608970474,0.5
Ridge,4055.6797072233944,28156113.821175255,5306.233487246415,0.9445411366281007,0.5078125
ElasticNet,4052.1270463716246,28197065.710504837,5310.090932413948,0.944460474032063,0.51171875
XGBoost,5108.230690583659,41819655.737288244,6466.811868091436,0.9176281716814951,0.48828125
LightGBM,6351.8573466055495,65704045.59630141,8105.80320488361,0.8705832874931096,0.5
