Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
LASSO,2045.4722549642092,7149168.558108377,2673.7929160853832,0.9641689992902424,0.5722543352601156
Ridge,2024.9995941415689,7178508.674402371,2679.27390805837,0.9640219492215232,0.5838150289017341
ElasticNet,2033.3917398405356,7349228.686155311,2710.9460869141813,0.96316631561706,0.5895953757225434
SVR,2355.302521285463,8990202.798802199,2998.366688515966,0.9549418984534364,0.5375722543352601
XGBoost,2643.863200431035,12594690.345087059,3548.8998781435153,0.9368765255671355,0.5838150289017341
LightGBM,2983.7500662715083,13627521.679417169,3691.5473286167103,0.9317000662386631,0.5491329479768786
