Model,MAE,MSE,RMSE,R2 Score,Directional Accuracy
SVR,2190.049216435982,8056953.3925356,2838.4773017474704,0.9719073626036018,0.5116279069767442
LASSO,2235.2738881499477,8393790.172692535,2897.2038541829493,0.9707328946545274,0.4844961240310077
ElasticNet,2238.6790705656886,8415682.518455114,2900.9795791172187,0.9706565613680727,0.4806201550387597
Ridge,2257.5323775488655,8510835.885871908,2917.333694638292,0.9703247847128469,0.49224806201550386
LightGBM,2709.803270265007,11573586.834711885,3401.9974771760026,0.9596457168754992,0.49612403100775193
XGBoost,2692.9509604247096,11821100.022902789,3438.182662818075,0.9587826985721892,0.5038759689922481
